"Plant.species.ID","Musca.domestica","Dermestidae.sp1","Hasinamelissa.sp","Rhiparida.seychellensis","Parasarcophaga.hirticeps","Lobosciara.bilotata","Lasioglossum.mahense","Helina.mediana","Hemipyrellia.germana","Simosyrphus.aegyptius","Megachile.seychellensis","Forcipomyia..Euprojoannisia..sp1","Lygistorrhina.sp","Ptinidae.sp1","Smitta.mahensis","Dasyhelea.tamsi","Mordellistena.coleae","Ptinidae.sp2","Nitidulidae.sp1","Cardiophorus.sp1","Chalicodoma.disjuncta","Coleoptera.sp1","near.Eurycratus.sp1","Cratopus.aurostriatus","Stictopterinae.sp1","Chloropidae.sp1","Nola.sp1","Chrysauginae.sp1","Gracilodes.sp1","Drosophila.spinipes","Megachile.laticeps","Forcipomyia..Thyridomyia..litoraurea","Ephydridae.sp1","Chrysomya.megacephala","Cossonini.sp1","Coccinellidae.sp1","Coccinellidae.sp2","Eupetersia.scotti","Eristalinus.sp","Rhinia.apicalis","Hymenoptera.sp1","Eilema.contorta","Eilema.sp1","Xylocopa.caffra","Cephonodes.tamsi","Apis.mellifera","Hemidactylus.frenatus","Agrius.convolvuli","Hypolimnas.misippus","Hypsipetes.crassirostris","Physiphora.azurea","Amblypsilopus.....nr..simplex","Stenomorda.near.disparilis","Amblypsilopus.....sp..indet.","Forcipomyia.sp3","Cryptorhynchidius.graniger","Forcipomyia.sp2","Coleoptera.sp3","Dolichopodidae.sp1","Scolytidae.sp1","Liosarcophaga.spilargyra","Pseudolycoriella.microcteniuni","Cryptophleps...nigrihalteratus..","Pyralidae.sp1","Scolytidae.sp2","Tricimba.seychellensis","Nitidulidae.sp2","Sciaridae.sp1","Phelsuma.sp","Leucopis.flavicornis","Chaetonerius.alluaudii","Polemistus.sp1","Eudaeus.sp","Atrichopogon.yamabukiensis","Dichaetomyia.fasciculifera","Hapalips.sp1","Cossonini.sp2","Cryptophagidae.sp1","Scaptodrosophila.undet.sp1","Geron.seychellarum","Chloropidae.sp2","Elateridae.sp2","Coleoptera.sp4","Thripomorpha.rufithorax","Odontomyia.sp","Homoneura.crassicaput","Hymenoptera.sp2","Celama.sp1","Delta.alluaudi","Neophyllomyza.approximatonervis","Endotricha.mesenterialis.mahensis","Melanostoma.annulipes","Hyrdotaea.nigrisquama","Sargus.seychellensis","Fannia.leucosticta","Pseudolycoriella.setigera","Mordellidae.sp1","Herpetogramma.sp1","Hypenodinae.sp1","Noctuidae.sp1","Cecidomyiidae.sp1","Chalcidoidea.sp1","Chironomidae.sp1","Leptotes.pirithous","Chloropidae.sp3","Scaptodrosophila.caliginosa","Platygastridae.sp1","Ceratina.tabescens","Chrysomya.alpiceps","Coccinellidae.sp3","Noctuidae.sp2","Cerambycidae.sp1","Coleoptera.sp2","Figitidae.sp1","Ptinidae.sp3","Scolytidae.sp3","Chironomus.sp","Cryptophagidae.sp2","Chalybion.madecassum","Scaptodrosophila.undet.sp2","Cecidomie.sp","Inostemma.close.to.soederlundi","Figitidae.sp2","Staphylinidae.sp1","Ornidia.obesa","Platygastridae.sp2","Dermestidae.sp2","Homoneura.pulchrifrons","Homoneura.striata","Hymenoptera.sp4","Cinnyris.dussumieri","Mabuya.seychellensis","Rhopalum.seychellense","Bradysia.ocellaris","Hymenoptera.sp3","Pachycerina.seychellensis","Stenotrupis.sp1","Elateridae.sp3","Staphylinidae.sp2","Scolytidae.sp4","Mycetophilidae.sp1","Rhynchium.brunneum","Forcipomyia..Microhelea..amieuensis","Polistes.olivaceus"
"Campnosperma seychellarum",0,0,0,3,0,0,7,0,5,1,0,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Dillenia ferruginea",1,0,0,1,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0
"Erythroxylum sechellarum",0,0,23,0,0,0,117,0,0,1,0,0,9,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"Ixora pudica ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memecylon elaeagni",0,0,0,0,0,1,45,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Nepenthes pervillei",1,0,0,0,6,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum ",4,75,0,69,1,2,310,0,14,0,2,18,29,0,0,12,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,4,0,0,0,0,3,0,1,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
"Paragenipa lancifolia",0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1
"Psychotria pervillei",0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
"Pyrostria bibracteata",0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",0,1,0,2,0,2,10,0,0,0,0,40,2,0,0,16,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,7,0
"Soulamea terminalioides",1,0,0,1,0,1,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Timonius flavescens",0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
