"Plant.species.ID","Musca.domestica","Dermestidae.sp1","Hasinamelissa.sp","Rhiparida.seychellensis","Parasarcophaga.hirticeps","Lobosciara.bilotata","Lasioglossum.mahense","Helina.mediana","Hemipyrellia.germana","Simosyrphus.aegyptius","Megachile.seychellensis","Forcipomyia..Euprojoannisia..sp1","Lygistorrhina.sp","Ptinidae.sp1","Smitta.mahensis","Dasyhelea.tamsi","Mordellistena.coleae","Ptinidae.sp2","Nitidulidae.sp1","Cardiophorus.sp1","Chalicodoma.disjuncta","Coleoptera.sp1","near.Eurycratus.sp1","Cratopus.aurostriatus","Stictopterinae.sp1","Chloropidae.sp1","Nola.sp1","Chrysauginae.sp1","Gracilodes.sp1","Drosophila.spinipes","Megachile.laticeps","Forcipomyia..Thyridomyia..litoraurea","Ephydridae.sp1","Chrysomya.megacephala","Cossonini.sp1","Coccinellidae.sp1","Coccinellidae.sp2","Eupetersia.scotti","Eristalinus.sp","Rhinia.apicalis","Hymenoptera.sp1","Eilema.contorta","Eilema.sp1","Xylocopa.caffra","Cephonodes.tamsi","Apis.mellifera","Hemidactylus.frenatus","Agrius.convolvuli","Hypolimnas.misippus","Hypsipetes.crassirostris","Physiphora.azurea","Amblypsilopus.....nr..simplex","Stenomorda.near.disparilis","Amblypsilopus.....sp..indet.","Forcipomyia.sp3","Cryptorhynchidius.graniger","Forcipomyia.sp2","Coleoptera.sp3","Dolichopodidae.sp1","Scolytidae.sp1","Liosarcophaga.spilargyra","Pseudolycoriella.microcteniuni","Cryptophleps...nigrihalteratus..","Pyralidae.sp1","Scolytidae.sp2","Tricimba.seychellensis","Nitidulidae.sp2","Sciaridae.sp1","Phelsuma.sp","Leucopis.flavicornis","Chaetonerius.alluaudii","Polemistus.sp1","Eudaeus.sp","Atrichopogon.yamabukiensis","Dichaetomyia.fasciculifera","Hapalips.sp1","Cossonini.sp2","Cryptophagidae.sp1","Scaptodrosophila.undet.sp1","Geron.seychellarum","Chloropidae.sp2","Elateridae.sp2","Coleoptera.sp4","Thripomorpha.rufithorax","Odontomyia.sp","Homoneura.crassicaput","Hymenoptera.sp2","Celama.sp1","Delta.alluaudi","Neophyllomyza.approximatonervis","Endotricha.mesenterialis.mahensis","Melanostoma.annulipes","Hyrdotaea.nigrisquama","Sargus.seychellensis","Fannia.leucosticta","Pseudolycoriella.setigera","Mordellidae.sp1","Herpetogramma.sp1","Hypenodinae.sp1","Noctuidae.sp1","Cecidomyiidae.sp1","Chalcidoidea.sp1","Chironomidae.sp1","Leptotes.pirithous","Chloropidae.sp3","Scaptodrosophila.caliginosa","Platygastridae.sp1","Ceratina.tabescens","Chrysomya.alpiceps","Coccinellidae.sp3","Noctuidae.sp2","Cerambycidae.sp1","Coleoptera.sp2","Figitidae.sp1","Ptinidae.sp3","Scolytidae.sp3","Chironomus.sp","Cryptophagidae.sp2","Chalybion.madecassum","Scaptodrosophila.undet.sp2","Cecidomie.sp","Inostemma.close.to.soederlundi","Figitidae.sp2","Staphylinidae.sp1","Ornidia.obesa","Platygastridae.sp2","Dermestidae.sp2","Homoneura.pulchrifrons","Homoneura.striata","Hymenoptera.sp4","Cinnyris.dussumieri","Mabuya.seychellensis","Rhopalum.seychellense","Bradysia.ocellaris","Hymenoptera.sp3","Pachycerina.seychellensis","Stenotrupis.sp1","Elateridae.sp3","Staphylinidae.sp2","Scolytidae.sp4","Mycetophilidae.sp1","Rhynchium.brunneum","Forcipomyia..Microhelea..amieuensis","Polistes.olivaceus"
"Aphloia theiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dillenia ferruginea",0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum sechellarum",0,0,0,0,0,0,111,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Ixora pudica ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memecylon elaeagni",0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum ",0,108,0,93,0,0,334,0,1,1,2,27,0,0,0,21,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0
"Paragenipa lancifolia",0,0,0,0,0,0,65,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pittosporum senacia subsp. wrightii",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyscias crassa",0,0,0,0,0,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0
"Psychotria pervillei",0,0,0,0,1,0,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
