Date,Site,Tree.spp,Time,Ochetellus.glaber,Nylanderia.sp,Monomorium.antarcticum,Apis.melifera,Colletidae,Hylaeus,Leioproctus,Lassioglossum,Bombus,Cerembycidae,Aranae,Lycaena.salustius,Polistes.chinensis,Icheumonidae,Prosthemadera.novaeseelandiae
17/01/12,Anawhata,Phormium tenax,9:00:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/12/11,Anawhata,Agapanthus praecox,14:00:00,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
10/12/11,Anawhata,Leptospermum scoparium,14:00:00,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Leptospermum scoparium,15:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/11/11,Anawhata,Leptospermum scoparium,15:00:00,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
22/11/11,Anawhata,Leptospermum scoparium,17:00:00,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Leptospermum scoparium,13:00:00,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
10/12/11,Anawhata,Phormium tenax,15:00:00,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
12/01/11,Anawhata,Phormium tenax,11:00:00,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12/01/11,Anawhata,Phormium tenax,11:00:00,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17/01/12,Anawhata,Phormium tenax,9:00:00,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
17/01/12,Anawhata,Phormium tenax,10:00:00,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
22/11/11,Anawhata,Phormium tenax,13:00:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Cordyline australisTree,10:00:00,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
10/12/11,Anawhata,Leptospermum scoparium,13:00:00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12/11,Anawhata,Leptospermum scoparium,13:00:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12/11/11,Anawhata,Leptospermum scoparium,10:00:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Leptospermum scoparium,11:00:00,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
22/11/11,Anawhata,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
22/11/11,Anawhata,Leptospermum scoparium,13:00:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Leptospermum scoparium,9:00:00,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29/11/11,Anawhata,Leptospermum scoparium,10:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Leptospermum scoparium,15:00:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12/11/11,Anawhata,Phormium tenax,11:00:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
12/11/11,Anawhata,Phormium tenax,14:00:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Phormium tenax,14:00:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
17/01/12,Anawhata,Phormium tenax,10:00:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17/12/11,Anawhata,Phormium tenax,15:00:00,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Phormium tenax,11:00:00,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Phormium tenax,15:00:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12/01/11,Anawhata,Agapanthus praecox,2:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12/01/11,Anawhata,Agapanthus praecox,10:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12/01/11,Anawhata,Agapanthus praecox,11:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12/01/11,Anawhata,Agapanthus praecox,12:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12/01/11,Anawhata,Agapanthus praecox,13:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17/12/11,Anawhata,Agapanthus praecox,13:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10/12/11,Anawhata,Leptospermum scoparium,14:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12/11/11,Anawhata,Leptospermum scoparium,9:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12/11/11,Anawhata,Leptospermum scoparium,11:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12/11/11,Anawhata,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12/11/11,Anawhata,Leptospermum scoparium,13:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12/11/11,Anawhata,Leptospermum scoparium,15:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Leptospermum scoparium,9:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Leptospermum scoparium,9:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Leptospermum scoparium,9:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Leptospermum scoparium,11:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17/12/11,Anawhata,Leptospermum scoparium,12:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17/12/11,Anawhata,Leptospermum scoparium,15:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22/11/11,Anawhata,Leptospermum scoparium,13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22/11/11,Anawhata,Leptospermum scoparium,14:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22/11/11,Anawhata,Leptospermum scoparium,16:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Leptospermum scoparium,9:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Leptospermum scoparium,11:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Leptospermum scoparium,11:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Leptospermum scoparium,14:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10/12/11,Anawhata,Phormium tenax,11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10/12/11,Anawhata,Phormium tenax,12:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10/12/11,Anawhata,Phormium tenax,13:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10/12/11,Anawhata,Phormium tenax,14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10/12/11,Anawhata,Phormium tenax,15:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12/11/11,Anawhata,Phormium tenax,10:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12/11/11,Anawhata,Phormium tenax,12:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12/11/11,Anawhata,Phormium tenax,13:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Phormium tenax,10:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Phormium tenax,10:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Phormium tenax,11:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Phormium tenax,12:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Phormium tenax,12:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15/11/11,Anawhata,Phormium tenax,13:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17/01/12,Anawhata,Phormium tenax,9:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17/01/12,Anawhata,Phormium tenax,10:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17/12/11,Anawhata,Phormium tenax,12:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17/12/11,Anawhata,Phormium tenax,12:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17/12/11,Anawhata,Phormium tenax,12:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17/12/11,Anawhata,Phormium tenax,12:00:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22/11/11,Anawhata,Phormium tenax,12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22/11/11,Anawhata,Phormium tenax,15:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22/11/11,Anawhata,Phormium tenax,16:00:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Phormium tenax,10:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Phormium tenax,14:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Phormium tenax,14:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29/11/11,Anawhata,Phormium tenax,15:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
