"","Network","PolOrder","int_tot","Reference","Latitude","Longitude","clim","Estimate","Est.Error","Q2.5","Q97.5"
"1","Bartomeu_BA","Bee",37,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.114,2.00250006282782,0,7
"2","Bartomeu_BA","Coleoptera",37,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.606,1.17818123722836,0,4
"3","Bartomeu_BA","Diptera",37,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.59275,1.16779209283717,0,4
"4","Bartomeu_BA","Hymenoptera",37,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.51,1.02988599674506,0,3
"5","Bartomeu_BA","Lepidoptera",37,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.51825,1.02466063643285,0,3
"6","Bartomeu_FR","Bee",28,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.7875,1.46300336455908,0,5
"7","Bartomeu_FR","Coleoptera",28,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.45725,0.910702905697358,0,3
"8","Bartomeu_FR","Hymenoptera",28,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.38625,0.840081764974672,0,3
"9","Bartomeu_FR","Syrphidae",28,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.7805,1.45304768913368,0,5
"10","Bartomeu_M1","Bee",36,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.126,1.88640229760438,0,7
"11","Bartomeu_M1","Coleoptera",36,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.6435,1.21584428251723,0,4
"12","Bartomeu_M1","Diptera",36,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.564,1.11611622551472,0,4
"13","Bartomeu_M1","Hymenoptera",36,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.50725,1.02942331700394,0,4
"14","Bartomeu_M1","Lepidoptera",36,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.47425,1.01665890855,0,3
"15","Bartomeu_M3","Bee",44,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.3175,2.2031584661133,0,7
"16","Bartomeu_M3","Coleoptera",44,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.72675,1.37078597930175,0,5
"17","Bartomeu_M3","Diptera",44,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.6715,1.2714133367903,0,4
"18","Bartomeu_M3","Lepidoptera",44,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.57025,1.10854506247553,0,4
"19","Bartomeu_M3","Syrphidae",44,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.2525,2.1059089398917,0,7
"20","Bartomeu_MI","Bee",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.104,1.88296850547165,0,7
"21","Bartomeu_MI","Coleoptera",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.6215,1.22049586338428,0,4
"22","Bartomeu_MI","Diptera",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.5725,1.1458935456684,0,4
"23","Bartomeu_MI","Hymenoptera",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.5545,1.1170683553067,0,4
"24","Bartomeu_MI","Lepidoptera",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.45225,0.959400880764919,0,3
"25","Bartomeu_MI","Syrphidae",39,"Bartomeus_etal_2008",42.315336,3.296797,"C",1.01375,1.74637435658805,0,6
"26","Bartomeu_SE","Bee",32,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.917,1.6621677714434,0,6
"27","Bartomeu_SE","Coleoptera",32,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.507,0.990553531655291,0,3
"28","Bartomeu_SE","Hymenoptera",32,"Bartomeus_etal_2008",42.315336,3.296797,"C",0.45475,0.933365003660151,0,3
"29","benadi_14_1","Bee",470,"Benadi_etal_2014",47.64917,13.105,"C",2.1905,3.46759510380768,0,12
"30","benadi_14_1","Diptera",470,"Benadi_etal_2014",47.64917,13.105,"C",1.1165,1.88886730738986,0,7
"31","benadi_14_1","Lepidoptera",470,"Benadi_etal_2014",47.64917,13.105,"C",0.95975,1.65478533838351,0,6
"32","benadi_14_1","Syrphidae",470,"Benadi_etal_2014",47.64917,13.105,"C",2.055,3.37554789343822,0,12
"33","benadi_14_2","Bee",424,"Benadi_etal_2014",47.598,12.89722,"D",3.03975,4.80738470214509,0,17
"34","benadi_14_2","Diptera",424,"Benadi_etal_2014",47.598,12.89722,"D",1.3145,2.25629396702123,0,8
"35","benadi_14_2","Lepidoptera",424,"Benadi_etal_2014",47.598,12.89722,"D",0.8565,1.5998586302887,0,5
"36","benadi_14_2","Syrphidae",424,"Benadi_etal_2014",47.598,12.89722,"D",1.931,3.07914099666114,0,11
"37","benadi_14_3","Bee",356,"Benadi_etal_2014",47.58194,12.93417,"D",2.4505,3.85470679054974,0,13
"38","benadi_14_3","Diptera",356,"Benadi_etal_2014",47.58194,12.93417,"D",1.11225,1.95629923942595,0,7
"39","benadi_14_3","Lepidoptera",356,"Benadi_etal_2014",47.58194,12.93417,"D",0.7185,1.41288952653898,0,5
"40","benadi_14_3","Syrphidae",356,"Benadi_etal_2014",47.58194,12.93417,"D",1.6575,2.72452739248078,0,9
"41","benadi_14_4","Bee",359,"Benadi_etal_2014",47.69056,13.03056,"C",2.237,3.54872926127684,0,13
"42","benadi_14_4","Diptera",359,"Benadi_etal_2014",47.69056,13.03056,"C",1.14125,1.964882599141,0,7
"43","benadi_14_4","Lepidoptera",359,"Benadi_etal_2014",47.69056,13.03056,"C",0.98275,1.72878558890427,0,6
"44","benadi_14_4","Syrphidae",359,"Benadi_etal_2014",47.69056,13.03056,"C",2.0875,3.40275453634385,0,11
"45","benadi_14_5","Bee",382,"Benadi_etal_2014",47.67528,13.14139,"C",2.51225,4.06804463892619,0,14
"46","benadi_14_5","Diptera",382,"Benadi_etal_2014",47.67528,13.14139,"C",1.35275,2.27224739290281,0,8
"47","benadi_14_5","Lepidoptera",382,"Benadi_etal_2014",47.67528,13.14139,"C",1.16525,1.94535049146257,0,7
"48","benadi_14_5","Syrphidae",382,"Benadi_etal_2014",47.67528,13.14139,"C",2.3415,3.79374167135392,0,13
"49","benadi_14_6","Bee",239,"Benadi_etal_2014",47.69694,12.94778,"D",2.4145,3.80102640091135,0,13
"50","benadi_14_6","Diptera",239,"Benadi_etal_2014",47.69694,12.94778,"D",1.10675,1.85167805392942,0,6
"51","benadi_14_6","Lepidoptera",239,"Benadi_etal_2014",47.69694,12.94778,"D",0.63725,1.20645195473329,0,4
"52","benadi_14_6","Syrphidae",239,"Benadi_etal_2014",47.69694,12.94778,"D",1.46975,2.42982735039718,0,8
"53","Caradonna14","Bee",547,"Caradonna_etal_2017",38.95139,-106.9842,"D",8.402,12.5539952484926,0,44
"54","Caradonna14","Diptera",547,"Caradonna_etal_2017",38.95139,-106.9842,"D",3.604,5.80319767678294,0,20
"55","Caradonna14","Hymenoptera",547,"Caradonna_etal_2017",38.95139,-106.9842,"D",2.122,3.65642699429254,0,12
"56","Caradonna14","Lepidoptera",547,"Caradonna_etal_2017",38.95139,-106.9842,"D",2.412,3.90718217109588,0,13
"57","Caradonna14","Syrphidae",547,"Caradonna_etal_2017",38.95139,-106.9842,"D",5.44175,8.25321972605005,0,29
"58","carvalheiro","Bee",506,"Carvalheiro_2008",51.457104,-2.627856,"C",2.87525,4.46510601558716,0,15.0250000000001
"59","carvalheiro","Coleoptera",506,"Carvalheiro_2008",51.457104,-2.627856,"C",1.61375,2.62693474110673,0,9
"60","carvalheiro","Diptera",506,"Carvalheiro_2008",51.457104,-2.627856,"C",1.3945,2.30861477417604,0,8
"61","carvalheiro","Hymenoptera",506,"Carvalheiro_2008",51.457104,-2.627856,"C",1.3365,2.25799521381167,0,8
"62","carvalheiro","Lepidoptera",506,"Carvalheiro_2008",51.457104,-2.627856,"C",1.2445,2.16180204852902,0,7
"63","carvalheiro","Syrphidae",506,"Carvalheiro_2008",51.457104,-2.627856,"C",2.56625,4.00282607561806,0,14
"64","Chacoff_011","Bee",1050,"Chacoff_etal_2011",-32.008985,-68.015892,"B",6.234,9.39416343144211,0,33
"65","Chacoff_011","Coleoptera",1050,"Chacoff_etal_2011",-32.008985,-68.015892,"B",2.445,3.84989355958123,0,13
"66","Chacoff_011","Diptera",1050,"Chacoff_etal_2011",-32.008985,-68.015892,"B",2.66975,4.20417693650355,0,15
"67","Chacoff_011","Hymenoptera",1050,"Chacoff_etal_2011",-32.008985,-68.015892,"B",5.884,8.81878601320424,0,30
"68","Chacoff_011","Lepidoptera",1050,"Chacoff_etal_2011",-32.008985,-68.015892,"B",4.6125,6.9302128908626,0,23
"69","Chacoff_011","Syrphidae",1050,"Chacoff_etal_2011",-32.008985,-68.015892,"B",5.35525,8.17953382723659,0,28
"70","Fang_Huan08","Bee",790,"Fang_Huang_2016",27.90139,99.63806,"C",6.66025,9.85693206403132,0,34
"71","Fang_Huan08","Coleoptera",790,"Fang_Huang_2016",27.90139,99.63806,"C",3.695,5.67371331278634,0,19
"72","Fang_Huan08","Diptera",790,"Fang_Huang_2016",27.90139,99.63806,"C",3.44975,5.24283766429913,0,18
"73","Fang_Huan08","Hymenoptera",790,"Fang_Huang_2016",27.90139,99.63806,"C",3.11575,4.81727656211152,0,17
"74","Fang_Huan08","Lepidoptera",790,"Fang_Huang_2016",27.90139,99.63806,"C",2.9095,4.36715900436913,0,15
"75","Fang_Huan08","Syrphidae",790,"Fang_Huang_2016",27.90139,99.63806,"C",6.35,9.16315943726388,0,32
"76","Fang_Huan09","Bee",991,"Fang_Huang_2016",27.90139,99.63806,"C",7.21775,10.7223867367221,0,38
"77","Fang_Huan09","Coleoptera",991,"Fang_Huang_2016",27.90139,99.63806,"C",3.96125,6.01084694595961,0,22
"78","Fang_Huan09","Diptera",991,"Fang_Huang_2016",27.90139,99.63806,"C",3.71225,5.69043453514753,0,20
"79","Fang_Huan09","Hymenoptera",991,"Fang_Huang_2016",27.90139,99.63806,"C",3.36825,4.98129955672397,0,17
"80","Fang_Huan09","Lepidoptera",991,"Fang_Huang_2016",27.90139,99.63806,"C",3.15675,4.97884290339273,0,17
"81","Fang_Huan09","Syrphidae",991,"Fang_Huang_2016",27.90139,99.63806,"C",6.80925,9.91324530845658,0,35
"82","Fang_Huan10","Bee",910,"Fang_Huang_2016",27.90139,99.63806,"C",6.174,9.11989677185451,0,32
"83","Fang_Huan10","Coleoptera",910,"Fang_Huang_2016",27.90139,99.63806,"C",3.44075,5.44526419588993,0,19
"84","Fang_Huan10","Diptera",910,"Fang_Huang_2016",27.90139,99.63806,"C",3.07275,4.88153815832651,0,17
"85","Fang_Huan10","Hymenoptera",910,"Fang_Huang_2016",27.90139,99.63806,"C",2.76425,4.26458891537675,0,15
"86","Fang_Huan10","Lepidoptera",910,"Fang_Huang_2016",27.90139,99.63806,"C",2.615,4.07172196127541,0,15
"87","Fang_Huan10","Syrphidae",910,"Fang_Huang_2016",27.90139,99.63806,"C",5.871,8.71354350767327,0,30
"88","ilha_das_vl","Bee",30,"Valeria_Trivellone",39.450242,-31.134698,"C",1.533,2.70901193914342,0,9
"89","ilha_das_vl","Diptera",30,"Valeria_Trivellone",39.450242,-31.134698,"C",0.8095,1.61473266839982,0,5
"90","ilha_das_vl","Hymenoptera",30,"Valeria_Trivellone",39.450242,-31.134698,"C",0.7105,1.40594591680486,0,5
"91","ilha_das_vl","Lepidoptera",30,"Valeria_Trivellone",39.450242,-31.134698,"C",0.6565,1.31089181832058,0,4
"92","ilha_das_vl","Syrphidae",30,"Valeria_Trivellone",39.450242,-31.134698,"C",1.493,2.6293876511186,0,9
"93","lararomer16","Bee",377,"LaraRomero_etal_2016",40.8333,-3.95,"C",3.349,5.19089928228623,0,18
"94","lararomer16","Coleoptera",377,"LaraRomero_etal_2016",40.8333,-3.95,"C",1.94625,3.26642439367267,0,11
"95","lararomer16","Diptera",377,"LaraRomero_etal_2016",40.8333,-3.95,"C",1.76525,2.83710322797419,0,10
"96","lararomer16","Hymenoptera",377,"LaraRomero_etal_2016",40.8333,-3.95,"C",1.5655,2.56356250424644,0,9
"97","lararomer16","Lepidoptera",377,"LaraRomero_etal_2016",40.8333,-3.95,"C",1.47625,2.45386252626842,0,8
"98","lararomer16","Syrphidae",377,"LaraRomero_etal_2016",40.8333,-3.95,"C",3.1305,4.97445032531332,0,17.0250000000001
"99","M_PL_001_00","Bee",361,"Arroyo_etal_1982",-33.283334,-70.266668,"E",3.241,4.92681310502468,0,17
"100","M_PL_001_00","Diptera",361,"Arroyo_etal_1982",-33.283334,-70.266668,"E",2.20725,3.51523635893304,0,12
"101","M_PL_001_00","Hymenoptera",361,"Arroyo_etal_1982",-33.283334,-70.266668,"E",1.31125,2.29427316591551,0,8
"102","M_PL_001_00","Lepidoptera",361,"Arroyo_etal_1982",-33.283334,-70.266668,"E",2.20175,3.62150876969009,0,12
"103","M_PL_001_00","Syrphidae",361,"Arroyo_etal_1982",-33.283334,-70.266668,"E",5.6205,8.7465767818816,0,30
"104","M_PL_002_00","Bee",196,"Arroyo_etal_1982",-33.283334,-70.266668,"E",2.284,3.60604976376154,0,12
"105","M_PL_002_00","Diptera",196,"Arroyo_etal_1982",-33.283334,-70.266668,"E",1.484,2.52018488070979,0,9
"106","M_PL_002_00","Hymenoptera",196,"Arroyo_etal_1982",-33.283334,-70.266668,"E",0.8905,1.73558716741739,0,6
"107","M_PL_002_00","Lepidoptera",196,"Arroyo_etal_1982",-33.283334,-70.266668,"E",1.395,2.37873697524534,0,9
"108","M_PL_002_00","Syrphidae",196,"Arroyo_etal_1982",-33.283334,-70.266668,"E",3.84725,6.31920885377548,0,21
"109","M_PL_003_00","Bee",81,"Arroyo_etal_1982",-33.283334,-70.266668,"E",1.09525,1.85176529186991,0,6
"110","M_PL_003_00","Diptera",81,"Arroyo_etal_1982",-33.283334,-70.266668,"E",0.744,1.39926891210092,0,5
"111","M_PL_003_00","Lepidoptera",81,"Arroyo_etal_1982",-33.283334,-70.266668,"E",0.70275,1.33840960567688,0,5
"112","M_PL_003_00","Syrphidae",81,"Arroyo_etal_1982",-33.283334,-70.266668,"E",1.8255,3.03897327886367,0,10
"113","M_PL_004_00","Bee",167,"Barrett_Helenurm_1987",46.553731,-66.071245,"D",1.1155,1.9623002842586,0,7
"114","M_PL_004_00","Coleoptera",167,"Barrett_Helenurm_1987",46.553731,-66.071245,"D",0.42975,0.906515515639431,0,3
"115","M_PL_004_00","Diptera",167,"Barrett_Helenurm_1987",46.553731,-66.071245,"D",0.46125,0.943250161790036,0,3
"116","M_PL_004_00","Hymenoptera",167,"Barrett_Helenurm_1987",46.553731,-66.071245,"D",0.28275,0.689508007802089,0,2
"117","M_PL_004_00","Lepidoptera",167,"Barrett_Helenurm_1987",46.553731,-66.071245,"D",0.32025,0.756857414435802,0,3
"118","M_PL_004_00","Syrphidae",167,"Barrett_Helenurm_1987",46.553731,-66.071245,"D",0.67775,1.29008566295205,0,4
"119","M_PL_005_00","Bee",923,"Clements_Long_1923",38.841784,-105.043821,"D",3.47275,5.40352264284494,0,19
"120","M_PL_005_00","Coleoptera",923,"Clements_Long_1923",38.841784,-105.043821,"D",1.39475,2.44988222537933,0,8
"121","M_PL_005_00","Diptera",923,"Clements_Long_1923",38.841784,-105.043821,"D",1.49375,2.50420220722562,0,9
"122","M_PL_005_00","Hymenoptera",923,"Clements_Long_1923",38.841784,-105.043821,"D",0.87625,1.62591415416349,0,6
"123","M_PL_005_00","Lepidoptera",923,"Clements_Long_1923",38.841784,-105.043821,"D",1.01925,1.77063921460784,0,6
"124","M_PL_005_00","Syrphidae",923,"Clements_Long_1923",38.841784,-105.043821,"D",2.13625,3.36690064339381,0,12
"125","M_PL_006_00","Bee",146,"Dicks_etal_2002",52.762395,1.575532,"C",2.22225,3.49584183924863,0,12
"126","M_PL_006_00","Coleoptera",146,"Dicks_etal_2002",52.762395,1.575532,"C",1.25825,2.20062891678887,0,7
"127","M_PL_006_00","Diptera",146,"Dicks_etal_2002",52.762395,1.575532,"C",1.147,1.98705261493591,0,7
"128","M_PL_006_00","Lepidoptera",146,"Dicks_etal_2002",52.762395,1.575532,"C",0.96975,1.67108739172064,0,6
"129","M_PL_006_00","Syrphidae",146,"Dicks_etal_2002",52.762395,1.575532,"C",2.01175,3.25419104807083,0,11
"130","M_PL_007_00","Bee",85,"Dicks_etal_2002",52.413173,1.097873,"C",1.46375,2.50414728518641,0,8
"131","M_PL_007_00","Diptera",85,"Dicks_etal_2002",52.413173,1.097873,"C",0.72325,1.36679423071554,0,5
"132","M_PL_007_00","Hymenoptera",85,"Dicks_etal_2002",52.413173,1.097873,"C",0.68675,1.32138599687532,0,4
"133","M_PL_007_00","Lepidoptera",85,"Dicks_etal_2002",52.413173,1.097873,"C",0.61425,1.15856916415337,0,4
"134","M_PL_007_00","Syrphidae",85,"Dicks_etal_2002",52.413173,1.097873,"C",1.30775,2.20788555571995,0,8
"135","M_PL_008_00","Bee",106,"Dupont_etal_2003",28.216667,-16.633333,"C",2.83425,4.63234730972317,0,16
"136","M_PL_008_00","Diptera",106,"Dupont_etal_2003",28.216667,-16.633333,"C",1.438,2.36380051785722,0,8
"137","M_PL_008_00","Hymenoptera",106,"Dupont_etal_2003",28.216667,-16.633333,"C",1.32125,2.23803499473521,0,8
"138","M_PL_008_00","Lepidoptera",106,"Dupont_etal_2003",28.216667,-16.633333,"C",1.21575,2.12340037317181,0,7
"139","M_PL_008_00","Syrphidae",106,"Dupont_etal_2003",28.216667,-16.633333,"C",2.64275,4.27892506798546,0,16
"140","M_PL_009_00","Bee",242,"Elberling_Olesen_1999",68.35,18.5,"E",1.80025,2.93291671167277,0,10
"141","M_PL_009_00","Coleoptera",242,"Elberling_Olesen_1999",68.35,18.5,"E",1.6525,3.48228018959269,0,11
"142","M_PL_009_00","Diptera",242,"Elberling_Olesen_1999",68.35,18.5,"E",1.14125,1.91851990272561,0,7
"143","M_PL_009_00","Hymenoptera",242,"Elberling_Olesen_1999",68.35,18.5,"E",0.667,1.2708323074617,0,4
"144","M_PL_009_00","Lepidoptera",242,"Elberling_Olesen_1999",68.35,18.5,"E",1.087,1.99873203117204,0,7
"145","M_PL_010_00","Bee",456,"Elberling_Olesen_unpubl",74.5,-20.5,"E",7.912,11.9410386106392,0,42
"146","M_PL_010_00","Diptera",456,"Elberling_Olesen_unpubl",74.5,-20.5,"E",5.31825,7.96836499212115,0,29
"147","M_PL_010_00","Hymenoptera",456,"Elberling_Olesen_unpubl",74.5,-20.5,"E",3.112,4.99376515493126,0,17
"148","M_PL_010_00","Lepidoptera",456,"Elberling_Olesen_unpubl",74.5,-20.5,"E",5.16225,8.25699518165401,0,29
"149","M_PL_010_00","Syrphidae",456,"Elberling_Olesen_unpubl",74.5,-20.5,"E",13.476,21.2083444065801,0,74
"150","M_PL_011_00","Bee",52,"Olesen_etal_2002",-20.348404,57.552152,"A",5.5265,9.61698598079662,0,33
"151","M_PL_011_00","Coleoptera",52,"Olesen_etal_2002",-20.348404,57.552152,"A",1.2825,2.4781503298356,0,8
"152","M_PL_011_00","Diptera",52,"Olesen_etal_2002",-20.348404,57.552152,"A",1.52,2.78469722495259,0,10
"153","M_PL_011_00","Lepidoptera",52,"Olesen_etal_2002",-20.348404,57.552152,"A",0.96625,1.9261460087729,0,6
"154","M_PL_011_00","Syrphidae",52,"Olesen_etal_2002",-20.348404,57.552152,"A",1.3465,2.6001207485378,0,8
"155","M_PL_012_00","Bee",145,"Olesen_unpubl",28.127842,-17.248908,"C",2.49375,4.02194044445398,0,14
"156","M_PL_012_00","Coleoptera",145,"Olesen_unpubl",28.127842,-17.248908,"C",1.37775,2.24684601536336,0,8
"157","M_PL_012_00","Diptera",145,"Olesen_unpubl",28.127842,-17.248908,"C",1.25925,2.16938147671125,0,8
"158","M_PL_012_00","Hymenoptera",145,"Olesen_unpubl",28.127842,-17.248908,"C",1.1635,1.9311136812763,0,7
"159","M_PL_012_00","Lepidoptera",145,"Olesen_unpubl",28.127842,-17.248908,"C",1.08025,1.85058534091946,0,6
"160","M_PL_012_00","Syrphidae",145,"Olesen_unpubl",28.127842,-17.248908,"C",2.2125,3.68208272358129,0,13
"161","M_PL_013_00","Bee",103,"Ollerton_etal_2003",-29.616667,30.133333,"C",2.6995,4.57153414961764,0,15
"162","M_PL_013_00","Coleoptera",103,"Ollerton_etal_2003",-29.616667,30.133333,"C",1.55075,2.69661683839089,0,9
"163","M_PL_013_00","Diptera",103,"Ollerton_etal_2003",-29.616667,30.133333,"C",1.3205,2.34683971846525,0,8
"164","M_PL_013_00","Hymenoptera",103,"Ollerton_etal_2003",-29.616667,30.133333,"C",1.2605,2.35234417779004,0,8
"165","M_PL_013_00","Lepidoptera",103,"Ollerton_etal_2003",-29.616667,30.133333,"C",1.16925,2.12479013570286,0,8
"166","M_PL_014_00","Bee",179,"Hocking_1968",81.816667,-71.3,"E",1.9975,3.34601146115409,0,11
"167","M_PL_014_00","Coleoptera",179,"Hocking_1968",81.816667,-71.3,"E",1.92575,4.83570914739912,0,12
"168","M_PL_014_00","Diptera",179,"Hocking_1968",81.816667,-71.3,"E",1.32475,2.23875868454193,0,8
"169","M_PL_014_00","Hymenoptera",179,"Hocking_1968",81.816667,-71.3,"E",0.78775,1.44194997917251,0,5
"170","M_PL_014_00","Lepidoptera",179,"Hocking_1968",81.816667,-71.3,"E",1.30475,2.26465441125144,0,8
"171","M_PL_014_00","Syrphidae",179,"Hocking_1968",81.816667,-71.3,"E",3.43175,5.47401435381626,0,20
"172","M_PL_015_00","Bee",2933,"Petanidou_1991",38.014466,23.635043,"C",4.903,7.02032137640842,0,24
"173","M_PL_015_00","Coleoptera",2933,"Petanidou_1991",38.014466,23.635043,"C",2.8095,4.32474110166136,0,14
"174","M_PL_015_00","Diptera",2933,"Petanidou_1991",38.014466,23.635043,"C",2.57125,3.89123487658046,0,14
"175","M_PL_015_00","Hymenoptera",2933,"Petanidou_1991",38.014466,23.635043,"C",2.3345,3.61820156923974,0,12
"176","M_PL_015_00","Lepidoptera",2933,"Petanidou_1991",38.014466,23.635043,"C",2.28225,3.4226471576678,0,13
"177","M_PL_015_00","Syrphidae",2933,"Petanidou_1991",38.014466,23.635043,"C",4.573,6.6888979913798,0,24
"178","M_PL_016_00","Bee",412,"Herrera_1988",37.016667,-6.55,"C",1.61525,2.70130370338555,0,9
"179","M_PL_016_00","Coleoptera",412,"Herrera_1988",37.016667,-6.55,"C",0.96525,1.67980590380812,0,6
"180","M_PL_016_00","Diptera",412,"Herrera_1988",37.016667,-6.55,"C",0.85525,1.5592964082631,0,5
"181","M_PL_016_00","Hymenoptera",412,"Herrera_1988",37.016667,-6.55,"C",0.7975,1.50717007680291,0,5
"182","M_PL_016_00","Lepidoptera",412,"Herrera_1988",37.016667,-6.55,"C",0.75225,1.37653319916815,0,5
"183","M_PL_016_00","Syrphidae",412,"Herrera_1988",37.016667,-6.55,"C",1.588,2.57690048391978,0,9
"184","M_PL_017_00","Bee",299,"Memmott_1999",51.574994,-2.589902,"C",4.59925,6.95896948201118,0,24
"185","M_PL_017_00","Diptera",299,"Memmott_1999",51.574994,-2.589902,"C",2.27275,3.61491692070314,0,12.0250000000001
"186","M_PL_017_00","Lepidoptera",299,"Memmott_1999",51.574994,-2.589902,"C",1.9685,3.23351537114235,0,11
"187","M_PL_017_00","Syrphidae",299,"Memmott_1999",51.574994,-2.589902,"C",4.3195,6.78829433547163,0,23
"188","M_PL_018_00","Bee",383,"Olesen_unpubl2",56.238737,9.973652,"C",3.4585,5.36399765731837,0,19
"189","M_PL_018_00","Coleoptera",383,"Olesen_unpubl2",56.238737,9.973652,"C",2.04625,3.2932236893456,0,11
"190","M_PL_018_00","Lepidoptera",383,"Olesen_unpubl2",56.238737,9.973652,"C",1.601,2.70233688798492,0,9
"191","M_PL_018_00","Syrphidae",383,"Olesen_unpubl2",56.238737,9.973652,"C",3.2075,5.0552282424383,0,17
"192","M_PL_019_00","Bee",264,"Inouye_Pyke_1988",-36.45,148.266667,"C",3.301,5.11130417384736,0,18
"193","M_PL_019_00","Diptera",264,"Inouye_Pyke_1988",-36.45,148.266667,"C",1.958,3.1680033240616,0,11
"194","M_PL_019_00","Syrphidae",264,"Inouye_Pyke_1988",-36.45,148.266667,"C",3.2645,5.1821572186069,0,18
"195","M_PL_020_00","Bee",190,"Kevan_1970",81.816667,-71.3,"E",1.759,3.01607247480781,0,10
"196","M_PL_020_00","Diptera",190,"Kevan_1970",81.816667,-71.3,"E",1.17225,1.96317178269302,0,7
"197","M_PL_020_00","Hymenoptera",190,"Kevan_1970",81.816667,-71.3,"E",0.70825,1.35373191032097,0,5
"198","M_PL_020_00","Lepidoptera",190,"Kevan_1970",81.816667,-71.3,"E",1.144,1.96640043802646,0,7
"199","M_PL_020_00","Syrphidae",190,"Kevan_1970",81.816667,-71.3,"E",3.10575,5.33879130615279,0,18
"200","M_PL_021_00","Bee",1193,"Kato_etal_1990",35.333333,135.75,"C",1.8875,2.97423187795033,0,10
"201","M_PL_021_00","Coleoptera",1193,"Kato_etal_1990",35.333333,135.75,"C",1.163,2.08134908256661,0,7
"202","M_PL_021_00","Diptera",1193,"Kato_etal_1990",35.333333,135.75,"C",1.065,1.80377060545383,0,6
"203","M_PL_021_00","Hymenoptera",1193,"Kato_etal_1990",35.333333,135.75,"C",0.9965,1.71776757198343,0,6
"204","M_PL_021_00","Lepidoptera",1193,"Kato_etal_1990",35.333333,135.75,"C",0.8975,1.60643671202056,0,6
"205","M_PL_021_00","Syrphidae",1193,"Kato_etal_1990",35.333333,135.75,"C",1.943,3.12276943148715,0,11
"206","M_PL_022_00","Bee",83,"Medan_etal_2002",-34.166667,-69.7,"E",0.914,1.72520957770984,0,6
"207","M_PL_022_00","Coleoptera",83,"Medan_etal_2002",-34.166667,-69.7,"E",0.91775,2.17822659640275,0,6
"208","M_PL_022_00","Diptera",83,"Medan_etal_2002",-34.166667,-69.7,"E",0.58925,1.19263994357423,0,4
"209","M_PL_022_00","Hymenoptera",83,"Medan_etal_2002",-34.166667,-69.7,"E",0.38925,0.8688631470445,0,3
"210","M_PL_022_00","Lepidoptera",83,"Medan_etal_2002",-34.166667,-69.7,"E",0.6115,1.23832593156172,0,4
"211","M_PL_022_00","Syrphidae",83,"Medan_etal_2002",-34.166667,-69.7,"E",1.6235,2.82014823351801,0,10
"212","M_PL_023_00","Bee",125,"Medan_etal_2002",-33,-69.283333,"B",1.2645,2.15817148902584,0,7
"213","M_PL_023_00","Coleoptera",125,"Medan_etal_2002",-33,-69.283333,"B",0.45325,0.948704088407887,0,3
"214","M_PL_023_00","Diptera",125,"Medan_etal_2002",-33,-69.283333,"B",0.52525,1.08011763295729,0,3.02500000000009
"215","M_PL_023_00","Hymenoptera",125,"Medan_etal_2002",-33,-69.283333,"B",1.1245,1.99549373559834,0,7
"216","M_PL_023_00","Lepidoptera",125,"Medan_etal_2002",-33,-69.283333,"B",0.90625,1.64549015401544,0,5
"217","M_PL_023_00","Syrphidae",125,"Medan_etal_2002",-33,-69.283333,"B",1.08025,1.91526159942932,0,7
"218","M_PL_024_00","Bee",38,"Mosquin_Martin_1967",75,-114.966667,"E",1.60325,3.11773467518906,0,10
"219","M_PL_024_00","Diptera",38,"Mosquin_Martin_1967",75,-114.966667,"E",1.02875,1.88846896089241,0,6
"220","M_PL_024_00","Lepidoptera",38,"Mosquin_Martin_1967",75,-114.966667,"E",1.00225,1.88457763058767,0,6
"221","M_PL_025_00","Bee",143,"Motten_1982",36.075391,-79.001843,"C",2.68475,4.25433805492363,0,14
"222","M_PL_025_00","Diptera",143,"Motten_1982",36.075391,-79.001843,"C",1.425,2.47455164655395,0,9
